states,year,proportion,igt,lg(igt),f,cl,population,lg(pl),wapw,mhi
Idaho,2008,0.00518442,1962931000,9.292905034,5,republican,1534.32,3.185915946,0.651,55.441
Kansas,2008,0.00895848,3391868000,9.530438943,7,republican,2808.076,3.448408858,0.6579,55.975
Nebraska,2008,0.00595942,2256362000,9.353408777,5,republican,1796.378,3.254397728,0.6565,59.308
North Dakota,2008,0.00284577,1077467673,9.032404249,5,republican,657.569,2.817941331,0.6699,58.026
Utah,2008,0.0067999,2574585000,9.410707235,5,republican,2663.029,3.425375896,0.6452,73.115
Maryland,2008,0.01744316,6604348000,9.819829949,8,democratic,5684.965,3.754727795,0.6856,74.487
Massachusetts,2008,0.02566698,9718059000,9.987579531,8,democratic,6468.967,3.810834936,0.6846,70.523
Rhode Island,2008,0.0051149,1936610000,9.28704217,6,democratic,1055.003,3.023253695,0.6818,62.246
New York State,2008,0.09984127,37802000000,10.57751478,8,democratic,19212.436,4.283582434,0.6818,58.996
Delaware,2008,0.00284272,1076312000,9.031938182,7,democratic,883.874,2.946390359,0.6693,59.278
Washington,2008,0.02315501,8766973000,9.942849669,8,democratic,6562.231,3.817051514,0.6864,66.21
Pennsylvania,2008,0.0473081,17911839000,10.25314018,8,swing,12612.285,4.100793776,0.6657,60.096
Iowa,2008,,,,8,swing,3016.734,3.479537018,0.6538,58.623
Nevada,2008,0.0054357,2058070454,9.313460238,6,swing,2653.63,3.423840368,0.678,64.004
Wisconsin,2008,0.017534,6638741000,9.822085726,7,swing,5640.996,3.751355792,0.6708,59.86
Ohio,2008,0.04157194,15740008000,10.19700495,7,swing,11515.391,4.061278689,0.6653,54.873
Florida,2008,,,,5,swing,18527.305,4.267812251,,52.444
Wyoming,2009,0.0015491,731399464,8.864154638,15,republican,559.851,2.748072458,0.6767,61.559
Idaho,2009,0.00476913,2251714000,9.352513228,13,republican,1554.439,3.191573684,0.6484,54.881
Kansas,2009,0.00758397,3580727000,9.553971211,15,republican,2832.704,3.452201196,0.6565,52.463
Nebraska,2009,0.00532526,2514288000,9.400415023,13,republican,1812.683,3.258321862,0.6556,58.186
North Dakota,2009,0.00255189,1204858005,9.080935867,13,republican,664.968,2.822800746,0.67,58.749
Utah,2009,0.00679265,3207110000,9.506113856,13,republican,2723.421,3.435114782,0.6427,68.623
Maryland,2009,0.01645167,7767558000,9.890284505,16,democratic,5730.388,3.758184029,0.6852,75.305
Massachusetts,2009,0.02732631,12901953000,10.11065546,16,democratic,6517.613,3.81408857,0.6851,69.658
Rhode Island,2009,0.00469945,2218816000,9.346121289,14,democratic,1053.646,3.022694723,0.6828,60.578
New York State,2009,0.08818708,41637000000,10.61947943,16,democratic,19307.066,4.285716281,0.6823,58.915
Delaware,2009,0.00248731,1174370000,9.069804948,16,democratic,891.73,2.950233378,0.6681,61.141
Washington,2009,0.02233982,10547612000,10.02315415,16,democratic,6667.426,3.823958204,0.6843,70.853
Pennsylvania,2009,0.0436728,20619848000,10.31428546,16,swing,12666.858,4.102668902,0.6663,56.517
Iowa,2009,,,,16,swing,3032.87,3.481853795,0.6534,59.507
Nevada,2009,0.00566088,2672750389,9.426958401,14,swing,2684.665,3.428890101,0.676,60.344
Wisconsin,2009,0.01838577,8680730000,9.938556248,16,swing,5669.264,3.753526681,0.67,60.112
Ohio,2009,0.0400424,18905780000,10.2765946,16,swing,11528.896,4.061787722,0.6651,53.826
Florida,2009,,,,13,swing,18652.644,4.270740401,,53.535
Wyoming,2010,0.00163912,843086910,8.925872346,15,republican,564.46,2.751633171,0.6739,60.249
Idaho,2010,0.00545989,2808307000,9.448444582,13,republican,1571.45,3.196300567,0.6456,54.304
Kansas,2010,0.00872214,4486248000,9.651883278,15,republican,2859.169,3.456239826,0.6553,53.155
Nebraska,2010,0.00557204,2865989000,9.457274519,13,republican,1830.429,3.262552888,0.6545,60.599
North Dakota,2010,0.00320468,1648332788,9.217044898,13,republican,674.499,2.82898131,0.6702,58.87
Utah,2010,0.00722029,3713771000,9.569815121,13,republican,2776.469,3.443492829,0.6411,65.443
Maryland,2010,0.01824993,9386888000,9.972521636,16,democratic,5785.982,3.762377078,0.6854,74.1
